Locality,Municipality,Property_Type,BHK,Carpet_Area_SqFt,Floor_No,Parking_Spaces,Age_Years,Price_Cr,Price_per_SqFt
Borivali West,BMC,Standard,1,358,35,1,19,0.79,22067.03910614525
Mira Road,MBMC,Standard,1,431,17,1,23,0.42,9744.77958236659
Bandra West,BMC,Luxury,4,3472,44,3,8,38.17,109936.63594470047
Andheri West,BMC,Standard,1,454,3,1,26,1.0,22026.431718061674
Kalyan,KDMC,Standard,3,1074,15,1,7,0.97,9031.657355679701
Kalyan,KDMC,Standard,1,473,15,1,5,0.44,9302.32558139535
Thane West,TMC,Standard,1,495,6,1,4,0.86,17373.737373737375
Borivali West,BMC,Luxury,4,2556,51,2,29,6.69,26173.708920187797
Bandra West,BMC,Luxury,4,2556,32,2,12,24.31,95109.5461658842
Malabar Hill,BMC,Luxury,5,4675,47,3,0,78.83,168620.32085561496
Kalyan,KDMC,Standard,1,449,27,1,5,0.46,10244.988864142539
Kharghar,NMMC,Luxury,3,2739,50,2,22,4.09,14932.4571011318
Mira Road,MBMC,Standard,1,388,31,1,17,0.47,12113.40206185567
Andheri West,BMC,Standard,2,722,39,1,1,3.06,42382.27146814404
Malabar Hill,BMC,Standard,1,447,24,1,12,4.33,96868.00894854586
Bandra West,BMC,Standard,1,423,32,1,1,3.72,87943.26241134752
Borivali West,BMC,Standard,3,1335,36,1,17,3.06,22921.34831460674
Andheri West,BMC,Standard,2,998,17,1,9,3.19,31963.927855711423
Vashi,NMMC,Standard,2,798,14,1,14,1.52,19047.619047619046
Andheri West,BMC,Standard,2,712,29,1,10,2.49,34971.910112359554
Malabar Hill,BMC,Standard,2,814,23,1,25,6.39,78501.2285012285
Worli,BMC,Standard,3,1344,13,1,8,8.53,63467.26190476191
Kharghar,NMMC,Standard,3,1272,32,1,1,2.23,17531.446540880504
Andheri West,BMC,Standard,1,430,28,1,28,1.12,26046.51162790698
Borivali West,BMC,Luxury,3,2049,38,3,24,5.34,26061.493411420204
Borivali West,BMC,Luxury,3,1971,57,3,14,6.85,34753.93201420599
Worli,BMC,Standard,1,374,24,1,11,2.51,67112.29946524063
Worli,BMC,Luxury,5,3355,44,3,16,30.62,91266.76602086438
Borivali West,BMC,Standard,2,798,7,1,2,1.75,21929.824561403508
Borivali West,BMC,Luxury,4,3944,34,3,24,9.96,25253.54969574037
Kharghar,NMMC,Standard,2,716,38,1,15,1.09,15223.463687150837
Kalyan,KDMC,Standard,2,932,2,1,23,0.61,6545.064377682404
Thane West,TMC,Standard,2,842,21,1,17,1.4,16627.0783847981
Worli,BMC,Standard,2,762,11,1,12,4.49,58923.8845144357
Kalyan,KDMC,Luxury,4,3964,41,2,18,3.8,9586.27648839556
Thane West,TMC,Standard,1,395,32,1,14,0.75,18987.3417721519
Vashi,NMMC,Standard,2,892,2,1,0,1.87,20964.125560538116
Malabar Hill,BMC,Luxury,4,2704,45,3,21,33.63,124371.30177514793
Kharghar,NMMC,Standard,2,942,15,1,1,1.43,15180.467091295117
Mira Road,MBMC,Standard,1,410,3,1,26,0.34,8292.68292682927
Vashi,NMMC,Standard,2,780,12,1,7,1.61,20641.025641025644
Thane West,TMC,Standard,3,1233,7,1,10,1.99,16139.497161394971
Andheri West,BMC,Standard,2,742,26,1,2,2.8,37735.84905660377
Kalyan,KDMC,Standard,2,722,23,1,11,0.67,9279.7783933518
Kalyan,KDMC,Luxury,4,2984,55,2,12,3.45,11561.662198391421
Thane West,TMC,Luxury,3,2346,37,3,5,5.24,22335.890878090366
Worli,BMC,Standard,1,405,3,1,27,1.78,43950.61728395062
Mira Road,MBMC,Standard,1,446,7,1,11,0.47,10538.11659192825
Malabar Hill,BMC,Luxury,5,3115,56,3,3,53.85,172873.19422150883
Andheri West,BMC,Standard,2,890,36,1,25,2.61,29325.842696629214
Borivali West,BMC,Standard,2,856,34,1,3,2.34,27336.448598130843
Vashi,NMMC,Standard,3,1422,12,1,2,3.12,21940.928270042194
Worli,BMC,Standard,2,896,26,1,7,6.46,72098.21428571429
Andheri West,BMC,Luxury,5,4485,33,3,13,19.38,43210.70234113713
Worli,BMC,Standard,3,1170,14,1,23,6.0,51282.05128205128
Kharghar,NMMC,Standard,2,838,17,1,26,0.9,10739.856801909307
Kalyan,KDMC,Luxury,4,3048,24,2,0,3.26,10695.53805774278
Thane West,TMC,Standard,1,396,31,1,10,0.79,19949.49494949495
Mira Road,MBMC,Standard,1,442,10,1,11,0.48,10859.72850678733
Kalyan,KDMC,Standard,1,350,20,1,27,0.24,6857.142857142857
Kalyan,KDMC,Standard,1,398,28,1,14,0.37,9296.4824120603
Vashi,NMMC,Standard,1,463,14,1,1,1.05,22678.18574514039
Kalyan,KDMC,Standard,3,1134,1,1,22,0.75,6613.756613756614
Bandra West,BMC,Standard,3,1254,33,1,16,9.08,72408.29346092504
Bandra West,BMC,Standard,1,392,34,1,24,2.52,64285.71428571428
Worli,BMC,Luxury,5,4110,42,3,11,39.71,96618.00486618005
Vashi,NMMC,Standard,1,394,16,1,17,0.73,18527.91878172589
Mira Road,MBMC,Standard,1,434,1,1,22,0.38,8755.760368663594
Thane West,TMC,Standard,1,435,34,1,0,1.01,23218.3908045977
Kharghar,NMMC,Luxury,5,3565,36,3,25,4.58,12847.124824684432
Thane West,TMC,Luxury,3,2025,27,2,24,3.17,15654.32098765432
Andheri West,BMC,Standard,1,491,5,1,8,1.42,28920.570264765785
Mira Road,MBMC,Standard,1,412,9,1,0,0.51,12378.640776699029
Kalyan,KDMC,Luxury,3,2016,32,2,8,2.08,10317.460317460318
Andheri West,BMC,Standard,2,962,38,1,18,3.21,33367.98336798337
Vashi,NMMC,Luxury,3,2634,30,2,0,6.91,26233.864844343203
Thane West,TMC,Standard,2,984,1,1,11,1.54,15650.40650406504
Mira Road,MBMC,Standard,2,818,29,1,24,0.87,10635.696821515892
Malabar Hill,BMC,Standard,1,451,26,1,10,4.56,101108.64745011085
Bandra West,BMC,Standard,2,716,3,1,20,3.81,53212.290502793294
Mira Road,MBMC,Luxury,4,2864,45,2,24,3.43,11976.256983240224
Borivali West,BMC,Standard,2,786,36,1,14,1.88,23918.575063613232
Kharghar,NMMC,Luxury,4,3852,40,2,22,5.36,13914.849428868121
Kharghar,NMMC,Luxury,3,2169,44,2,3,4.07,18764.407561088057
Bandra West,BMC,Standard,3,1104,34,1,13,8.41,76177.53623188406
Andheri West,BMC,Standard,1,376,29,1,14,1.24,32978.72340425532
Bandra West,BMC,Standard,1,495,2,1,16,2.8,56565.656565656565
Andheri West,BMC,Luxury,4,3448,29,2,6,15.87,46026.682134570765
Kharghar,NMMC,Standard,2,782,36,1,19,1.11,14194.373401534529
Andheri West,BMC,Standard,3,1407,13,1,22,3.58,25444.207533759774
Vashi,NMMC,Luxury,4,3276,45,2,8,8.71,26587.30158730159
Mira Road,MBMC,Standard,1,421,24,1,15,0.49,11638.95486935867
Malabar Hill,BMC,Standard,2,798,24,1,18,7.07,88596.49122807017
Andheri West,BMC,Standard,2,990,19,1,3,3.48,35151.51515151515
Mira Road,MBMC,Standard,2,796,35,1,11,1.08,13567.8391959799
Worli,BMC,Standard,2,998,37,1,14,7.12,71342.68537074148
Bandra West,BMC,Standard,2,974,9,1,13,5.98,61396.30390143738
Kalyan,KDMC,Standard,3,1152,7,1,20,0.8,6944.444444444444
Worli,BMC,Standard,2,746,19,1,3,5.33,71447.72117962467
Mira Road,MBMC,Standard,3,1374,36,1,7,1.98,14410.480349344978
Borivali West,BMC,Luxury,5,3360,52,3,26,9.34,27797.619047619046
Vashi,NMMC,Standard,1,398,2,1,27,0.57,14321.608040201003
Borivali West,BMC,Standard,2,714,38,1,7,1.91,26750.700280112043
Worli,BMC,Standard,1,407,3,1,21,1.98,48648.64864864865
Vashi,NMMC,Standard,1,451,17,1,2,1.04,23059.866962305987
Worli,BMC,Standard,1,499,36,1,4,4.05,81162.32464929859
Kalyan,KDMC,Standard,2,940,16,1,11,0.82,8723.404255319148
Malabar Hill,BMC,Standard,3,1056,16,1,29,7.26,68750.0
Kharghar,NMMC,Standard,1,354,20,1,7,0.52,14689.265536723164
Thane West,TMC,Standard,3,1494,20,1,5,2.91,19477.911646586344
Vashi,NMMC,Standard,2,730,12,1,5,1.54,21095.890410958906
Andheri West,BMC,Standard,1,463,2,1,8,1.34,28941.68466522678
Borivali West,BMC,Standard,1,424,3,1,19,0.72,16981.132075471698
Kharghar,NMMC,Luxury,4,3640,54,3,21,5.68,15604.395604395604
Vashi,NMMC,Standard,1,361,38,1,17,0.8,22160.6648199446
Bandra West,BMC,Standard,2,966,3,1,15,5.54,57349.89648033126
Kharghar,NMMC,Standard,1,498,35,1,1,0.9,18072.289156626506
Worli,BMC,Standard,3,1077,25,1,1,8.3,77065.92386258124
Kalyan,KDMC,Standard,1,444,14,1,0,0.44,9909.90990990991
Vashi,NMMC,Luxury,5,4945,32,2,20,10.02,20262.891809909
Worli,BMC,Standard,1,374,15,1,3,2.58,68983.95721925133
Andheri West,BMC,Standard,1,483,32,1,28,1.3,26915.11387163561
Worli,BMC,Standard,1,354,19,1,1,2.59,73163.8418079096
Mira Road,MBMC,Standard,2,810,15,1,8,0.97,11975.308641975309
Kharghar,NMMC,Standard,1,422,28,1,29,0.47,11137.440758293838
Bandra West,BMC,Standard,2,892,4,1,3,6.02,67488.78923766816
Kharghar,NMMC,Standard,1,473,29,1,19,0.63,13319.23890063425
Andheri West,BMC,Standard,2,824,37,1,19,2.69,32645.631067961163
Bandra West,BMC,Standard,2,726,7,1,4,4.93,67906.33608815428
Vashi,NMMC,Luxury,5,4925,46,3,20,11.08,22497.46192893401
Vashi,NMMC,Standard,2,814,39,1,4,2.18,26781.32678132678
Malabar Hill,BMC,Standard,3,1293,37,1,12,13.88,107347.25444702242
Andheri West,BMC,Standard,1,488,21,1,19,1.4,28688.524590163935
Kharghar,NMMC,Standard,1,383,18,1,7,0.56,14621.40992167102
Bandra West,BMC,Standard,1,391,21,1,9,2.83,72378.51662404092
Malabar Hill,BMC,Luxury,3,2157,20,2,1,29.1,134909.59666203058
Malabar Hill,BMC,Luxury,4,3324,47,2,10,49.32,148375.4512635379
Kharghar,NMMC,Standard,3,1284,17,1,27,1.36,10591.90031152648
Kharghar,NMMC,Standard,1,436,37,1,7,0.74,16972.477064220184
Thane West,TMC,Standard,2,916,24,1,2,1.91,20851.528384279474
Thane West,TMC,Standard,2,814,31,1,13,1.56,19164.619164619166
Andheri West,BMC,Standard,2,968,28,1,18,2.99,30888.42975206612
Mira Road,MBMC,Standard,2,890,8,1,9,0.98,11011.23595505618
Vashi,NMMC,Standard,2,860,31,1,7,2.08,24186.04651162791
Thane West,TMC,Standard,1,398,36,1,29,0.61,15326.633165829146
Andheri West,BMC,Standard,2,942,10,1,20,2.41,25583.864118895966
Andheri West,BMC,Standard,3,1401,13,1,20,3.68,26266.952177016417
Worli,BMC,Standard,1,495,9,1,24,2.38,48080.80808080808
Thane West,TMC,Standard,2,926,22,1,19,1.51,16306.69546436285
Andheri West,BMC,Standard,1,462,21,1,2,1.67,36147.18614718615
Mira Road,MBMC,Luxury,5,3190,31,2,8,4.36,13667.711598746082
Worli,BMC,Standard,1,475,8,1,13,2.68,56421.05263157895
Thane West,TMC,Standard,1,435,22,1,10,0.81,18620.689655172417
Kalyan,KDMC,Luxury,3,2604,21,3,28,1.81,6950.84485407066
Borivali West,BMC,Standard,3,1332,15,1,18,2.53,18993.99399399399
Kharghar,NMMC,Luxury,3,2631,56,2,28,3.69,14025.08551881414
